title,sub_category,address,metadata,coordinate,regency,link,review_point,price_level,site,contact_number,check_in,amenities,open_hours,check_out
Banana villa,Villa,"6H76+24H, Sekartaji, Nusa Penida, Klungkung Regency, Bali 80771 ",,"-8.7874325, 115.5603556", Klungkung ,https://www.google.com/maps/place/Villa+abian/data=!4m7!3m6!1s0x2dd23948cc99541b:0x772eb2b9b44dbe26!8m2!3d-8.5875839!4d115.1814052!16s%2Fg%2F11g0l6t49v!19sChIJG1SZzEg50i0RJr5NtLmyLnc?authuser=0&hl=en&rclk=1,,,,,,,,
Made Tastra Villas,Villa,"MJMR+QHJ, Dauhwaru, Jembrana, Jembrana Regency, Bali 82218 ",,"-8.3143976, 114.6418022", Jembrana ,https://www.google.com/maps/place/Made+Tastra+Villas/data=!4m7!3m6!1s0x2dd163da76d9c24d:0x3ca76f47e1c3a617!8m2!3d-8.3143976!4d114.6418022!16s%2Fg%2F11rjj2m4cv!19sChIJTcLZdtpj0S0RF6bD4Udvpzw?authuser=0&hl=en&rclk=1,5.0,5 reviews,,,,,,
villa my dream,Villa,"Dauhwaru, Jembrana, Jembrana Regency, Bali 82218 ",,"-8.3535009, 114.641188", Jembrana ,https://www.google.com/maps/place/villa+my+dream/data=!4m7!3m6!1s0x2dd1638474be2cd5:0xe06b1313d585ebe8!8m2!3d-8.3535009!4d114.641188!16s%2Fg%2F11fm5wcb9f!19sChIJ1Sy-dIRj0S0R6OuF1RMTa-A?authuser=0&hl=en&rclk=1,5.0,2 reviews,,,,,,
The Klumpu Villa,,"7GHG+RCW, Klumpu, Nusa Penida, Klungkung Regency, Bali 80771 ",,"-8.7203823, 115.5260649", Klungkung ,https://www.google.com/maps/place/The+Klumpu+Villa/data=!4m10!3m9!1s0x2dd2716b719349c7:0xa2eb32bc3f35cae1!5m2!4m1!1i2!8m2!3d-8.7203823!4d115.5260649!16s%2Fg%2F11fmdx39d7!19sChIJx0mTcWtx0i0R4co1P7wy66I?authuser=0&hl=en&rclk=1,4.2,38 reviews,https://travellingpedro.com/the-klumpu-villa-indonesia,81339108029.0,, Free Wi-Fi available  |  Free breakfast available  |  Parking available  |  Outdoor pool available  |  Laundry service available ,,
Villa Kebon Tupai,Villa,"Jl. Lasem No.12, Penarungan, Kec. Mengwi, Kabupaten Badung, Bali 80352 ",,"-8.5309102, 115.1961559",  Badung,https://www.google.com/maps/place/Villa+Kebon+Tupai/data=!4m7!3m6!1s0x2dd23d15558650db:0xe8cf7264a45423dd!8m2!3d-8.5309102!4d115.1961559!16s%2Fg%2F11q1lq1rf_!19sChIJ21CGVRU90i0R3SNUpGRyz-g?authuser=0&hl=en&rclk=1,,,,,,,,
k=1,,,,,,,,,,,,,,
VILLA SARAH DEWI,Villa,"Penelokan Main Rd, South Batur, Kintamani, Bangli Regency, Bali 80652 ",,"-8.2658431, 115.3402742", Bangli ,https://www.google.com/maps/place/VILLA+SARAH+DEWI/data=!4m7!3m6!1s0x2dd1f50bccb76605:0xf9a67d1e2f5f3f90!8m2!3d-8.2658431!4d115.3402742!16s%2Fg%2F11mvpjdb7_!19sChIJBWa3zAv10S0RkD9fLx59pvk?authuser=0&hl=en&rclk=1,5.0,1 review,,,,,,
Gelar Eco Villas,,"Dauhwaru, Jembrana, Jembrana Regency, Bali 82218 ",,"-8.3029424, 114.6536889", Jembrana ,https://www.google.com/maps/place/Gelar+Eco+Villas/data=!4m10!3m9!1s0x2dd1632500bcf467:0xcf5b4db0eb4e6591!5m2!4m1!1i2!8m2!3d-8.3029424!4d114.6536889!16s%2Fg%2F11g2pl_yt2!19sChIJZ_S8ACVj0S0RkWVO67BNW88?authuser=0&hl=en&rclk=1,4.6,62 reviews,,82144217539.0,, Free Wi-Fi available  |  Free parking available  |  Pool unavailable ,,
OYO 90057 Riverside Bali Villas,,"Jl. Bukit Tinggi No.1, Mengwitani, Kec. Mengwi, Bali, 80351 ",,"-8.5726499, 115.1761557",,https://www.google.com/maps/place/OYO+90057+Riverside+Bali+Villas/data=!4m10!3m9!1s0x2dd23959622678b7:0x5bb1af07c962e142!5m2!4m1!1i2!8m2!3d-8.5726499!4d115.1761557!16s%2Fg%2F11mv0wqk6x!19sChIJt3gmYlk50i0RQuFiyQevsVs?authuser=0&hl=en&rclk=1,5.0,4 reviews,https://www.oyorooms.com/ID/hotels-in-Bali/?utm_source=GMB_ID_SO&utm_medium=Organic&utm_campaign=ID_BAG003&locale=id,2129707601.0,, Free Wi-Fi available  |  Pool available  |  Laundry service available ,,
Villa Losari,Villa,"RW7V+HGQ, Jalan sudirman gang pantai sulanyah.seririt, Sulanyah, Kec. Seririt, Kabupaten Buleleng, Bali 81153 ",,"-8.1860401, 114.9438582",  Buleleng,https://www.google.com/maps/place/Villa+Losari/data=!4m7!3m6!1s0x2dd183cb78f4e953:0xfb204b6b2003e378!8m2!3d-8.1860401!4d114.9438582!16s%2Fg%2F11f713sthv!19sChIJU-n0eMuD0S0ReOMDIGtLIPs?authuser=0&hl=en&rclk=1,5.0,1 review,,87863211327.0,,, Open 24 hours,
Swarma villa,Villa,"M7CM+XVJ, Gg. Abian tiying, Singakerta, Kecamatan Ubud, Gianyar Regency, Bali 80572 ",,"-8.3275498, 115.2846543", Gianyar ,https://www.google.com/maps/place/Swarma+villa/data=!4m7!3m6!1s0x2dd21f155b401a05:0xac3d8a26bf4f1f2e!8m2!3d-8.3275498!4d115.2846543!16s%2Fg%2F11j1l3pgzm!19sChIJBRpAWxUf0i0RLh9PvyaKPaw?authuser=0&hl=en&rclk=1,5.0,1 review,,81916376314.0,,, Open 24 hours,
Villa Jembrana,,"82218, Dauhwaru, Kecamatan Jembrana, Pendem, Kec. Jembrana, Kabupaten Jembrana, Bali 82218 ",,"-8.3089413, 114.6414053",  Jembrana,https://www.google.com/maps/place/Villa+Jembrana/data=!4m10!3m9!1s0x2dd163c0c72f0f0b:0x51e22e2b0bbe2bb!5m2!4m1!1i2!8m2!3d-8.3089413!4d114.6414053!16s%2Fg%2F11f3f7dchk!19sChIJCw8vx8Bj0S0Ru-K7sOIiHgU?authuser=0&hl=en&rclk=1,4.5,18 reviews,http://villajembrana.com/,,, Free Wi-Fi available  |  Free breakfast available  |  Outdoor pool available  |  Laundry service available  |  Room service available  |  Kid-friendly available ,,
Yens’s Villa,Villa,"Jl. Raya Penarungan No.30, Penarungan, Kec. Mengwi, Kabupaten Badung, Bali 80352 ",,"-8.5480989, 115.1981026",  Badung,https://www.google.com/maps/place/Yens%E2%80%99s+Villa/data=!4m7!3m6!1s0x2dd23d31f6b49383:0x11534e6fbc33fe79!8m2!3d-8.5480989!4d115.1981026!16s%2Fg%2F11r_tdx9y9!19sChIJg5O09jE90i0Ref4zvG9OUxE?authuser=0&hl=en&rclk=1,,,,87786070200.0,,,,
Villa Taman Sari,Villa,"RW3R+PGV Br Dinas Taman Sari, Sulanyah, Kec. Seririt, Kabupaten Buleleng, Bali 81153 ",,"-8.1956346, 114.9413043",  Buleleng,https://www.google.com/maps/place/Villa+Taman+Sari/data=!4m7!3m6!1s0x2dd183498506aac5:0x375e400c8f661f8c!8m2!3d-8.1956346!4d114.9413043!16s%2Fg%2F11sx3bsd4s!19sChIJxaoGhUmD0S0RjB9mjwxAXjc?authuser=0&hl=en&rclk=1,,,,,,,,
Kintamani Hill Villa,Villa,"P9F7+M3P, Unnamed Road, Batur Tengah, Kec. Kintamani, Kabupaten Bangli, Bali 80652 ",,"-8.275792, 115.362718",  Bangli,https://www.google.com/maps/place/Kintamani+Hill+Villa/data=!4m7!3m6!1s0x2dd1f5c0b2a1466d:0xbd81b5f95159629f!8m2!3d-8.275792!4d115.362718!16s%2Fg%2F11smdq066m!19sChIJbUahssD10S0Rn2JZUfm1gb0?authuser=0&hl=en&rclk=1,,,,,,,,
Villa Exotic,Villa,"JJWR+JF3, Dauhwaru, Jembrana, Jembrana Regency, Bali 82218 ",,"-8.3534848, 114.6411712", Jembrana ,https://www.google.com/maps/place/Villa+Exotic/data=!4m7!3m6!1s0x2dd163cdc9b58d99:0x367a43a27bb7c2ce!8m2!3d-8.3534848!4d114.6411712!16s%2Fg%2F11fm7m73mt!19sChIJmY21yc1j0S0RzsK3e6JDejY?authuser=0&hl=en&rclk=1,,,,817467612.0,,,,
Villa OASA Puman,,"H7H9+QW, Taro, Tegallalang, Gianyar Regency, Bali ",,"-8.4205898, 115.2697884", Gianyar ,https://www.google.com/maps/place/Villa+OASA+Puman/data=!4m10!3m9!1s0x2dd2231eff192e9f:0xc0a1b400426d9841!5m2!4m1!1i2!8m2!3d-8.4205898!4d115.2697884!16s%2Fg%2F11pf1t31n3!19sChIJny4Z_x4j0i0RQZhtQgC0ocA?authuser=0&hl=en&rclk=1,4.2,17 reviews,,81384685581.0,, Free Wi-Fi available  |  Free parking available  |  Pool available  |  Laundry service available , Open 24 hours,
Harwita’s Villa,Villa,"QXV7+9PM, Jl. Air Panas, Munduk, Kec. Banjar, Kabupaten Buleleng, Bali 81152 ",,"-8.206539, 114.9642843",  Buleleng,https://www.google.com/maps/place/Harwita%E2%80%99s+Villa/data=!4m7!3m6!1s0x2dd1831e7991981b:0xe8f7912f963db3d9!8m2!3d-8.206539!4d114.9642843!16s%2Fg%2F11nnqcc98w!19sChIJG5iReR6D0S0R2bM9li-R9-g?authuser=0&hl=en&rclk=1,,,,,,,,
Sebatu paradise villa,,"Jl. Br Jasan, Sebatu, Kec. Tegallalang, Kabupaten Gianyar, Bali 80561 ",,"-8.3685728, 115.3071869",  Gianyar,https://www.google.com/maps/place/Sebatu+paradise+villa/data=!4m10!3m9!1s0x2dd21f7f72e1a865:0x71422193a9e48b21!5m2!4m1!1i2!8m2!3d-8.3685728!4d115.3071869!16s%2Fg%2F11p673g2z_!19sChIJZajhcn8f0i0RIYvkqZMhQnE?authuser=0&hl=en&rclk=1,5.0,6 reviews,https://sebatu-paradise-villas.business.site/,82237661682.0,, Free Wi-Fi available  |  Free parking available  |  Pool available ,,
Villa Gelar,Villa,"Jl. Patih Jelantik, Batuagung, Kec. Jembrana, Kabupaten Jembrana, Bali 82218 ",,"-8.299852, 114.655115",  Jembrana,https://www.google.com/maps/place/Villa+Gelar/data=!4m7!3m6!1s0x2dd1636e06d22603:0x91eea89b49e6cf88!8m2!3d-8.299852!4d114.655115!16s%2Fg%2F11q7fxgfjk!19sChIJAybSBm5j0S0RiM_mSZuo7pE?authuser=0&hl=en&rclk=1,4.9,14 reviews,,881037643262.0,,,,
Kaja villa ubud,,"H7C5+PR4, Br. Roban - Desa Kelusa, Keliki, Payangan, Gianyar Regency, Bali 80572 ",,"-8.428249, 115.259575", Gianyar ,https://www.google.com/maps/place/Kaja+villa+ubud/data=!4m10!3m9!1s0x2dd2231a79cef067:0xc0c018a64d246ffc!5m2!4m1!1i2!8m2!3d-8.428249!4d115.259575!16s%2Fg%2F11h5npz28p!19sChIJZ_DOeRoj0i0R_G8kTaYYwMA?authuser=0&hl=en&rclk=1,4.6,5 reviews,https://kajavillaubud.com/,,, Free Wi-Fi available  |  Free parking available  |  Pool available  |  Laundry service available  |  Airport shuttle available ,,
Villa Sali,Villa,"Jalan Samudra V3, Tangguwisia, Desa Tangguwisia, Kecamatan Seririt, Buleleng Regency, Bali 81151 ",,"-8.1830424, 114.9460816", Buleleng ,https://www.google.com/maps/place/Villa+Sali/data=!4m7!3m6!1s0x2dd19d2b5f30d1b3:0xa3716dbd40fdfb52!8m2!3d-8.1830424!4d114.9460816!16s%2Fg%2F11c3sr9z37!19sChIJs9EwXyud0S0RUvv9QL1tcaM?authuser=0&hl=en&rclk=1,4.6,16 reviews,http://www.villasali.com/,31642266599.0,,,,
Villa Kedisan Lake View RedPartner,,"Jl. Kedisan No.88, Kedisan, Kec. Kintamani, Kabupaten Bangli, Bali 80652 ",,"-8.2799653, 115.3827453",  Bangli,https://www.google.com/maps/place/Villa+Kedisan+Lake+View+RedPartner/data=!4m10!3m9!1s0x2dd1f7963633790d:0x642d5504b4f24a7e!5m2!4m1!1i2!8m2!3d-8.2799653!4d115.3827453!16s%2Fg%2F11jwkmjxjw!19sChIJDXkzNpb30S0RfkrytARVLWQ?authuser=0&hl=en&rclk=1,4.5,46 reviews,https://www.reddoorz.com/id-id/hotel/indonesia/bangli/kintamani/villa-kedisan-lake-view-redpartner?utm_source=google&utm_medium=mybusiness&utm_campaign=webclick,8123978107.0,, Free Wi-Fi available  |  Parking available  |  Pool unavailable  |  Laundry service available ,,
Kebun Villas,,"Suradadi, Banjar, Belimbing, Kec. Pupuan, Kabupaten Tabanan, Bali 82162 ",,"-8.4323397, 115.0291278",  Tabanan,https://www.google.com/maps/place/Kebun+Villas/data=!4m10!3m9!1s0x2dd22eeb1241589f:0xd79e3c56ee8eafe1!5m2!4m1!1i2!8m2!3d-8.4323397!4d115.0291278!16s%2Fg%2F12hmy9mmd!19sChIJn1hBEusu0i0R4a-O7lY8ntc?authuser=0&hl=en&rclk=1,4.4,140 reviews,http://www.kebunvilla.com/,81239703566.0,, Free Wi-Fi available  |  Free breakfast available  |  Free parking available  |  Outdoor pool available  |  Laundry service available  |  Room service available  |  Kid-friendly available  |  Restaurant available , 7AM to 10PM,
Green Villa,,"H7HG+23J, Villas, Jl. Raya Bresela, Beresela, Payangan, Gianyar Regency, Bali 80571 ",,"-8.4224012, 115.275146", Gianyar ,https://www.google.com/maps/place/Green+Villa/data=!4m10!3m9!1s0x2dd223efe3e4fd81:0x24f8bf6e1c749030!5m2!4m1!1i2!8m2!3d-8.4224012!4d115.275146!16s%2Fg%2F11p64m197z!19sChIJgf3k4-8j0i0RMJB0HG6_-CQ?authuser=0&hl=en&rclk=1,,,,,, Pet-friendly available  |  Airport shuttle available ,,
The Lovina Villa,Villa,"Unnamed Road, Dencarik, Kec. Banjar, Kabupaten Buleleng, Bali 81152 ",,"-8.1843852, 114.9732171",  Buleleng,https://www.google.com/maps/place/The+Lovina+Villa/data=!4m7!3m6!1s0x2dd183674da7bfb1:0xe1fdb9a4122ff361!8m2!3d-8.1843852!4d114.9732171!16s%2Fg%2F11j20w73r7!19sChIJsb-nTWeD0S0RYfMvEqS5_eE?authuser=0&hl=en&rclk=1,4.8,4 reviews,http://www.thelovinavilla.com/,87762035526.0,,, 8AM to 12AM,
